Soil Type (Region),pH,N,P,K,Humidity (%),Temp (°C),Best Crops,Fertilizer Recommendation
"Nitisols (West, Northwest highlands)",6.2,213.3,54.2,177.3,87.6,22.5,"Cabbage, Irish Potato, Maize",Urea + DAP
Lateritic soils (East region),4.7,114.9,15.4,97.9,83.1,30.8,"Sweet Potato, Cassava, Groundnuts, Plantain",NPK 20-10-10
Clay soils (Western Highlands),7.0,153.3,21.4,150.3,87.6,21.6,"Irish Potato, Beans",Urea + DAP + MOP
"Ferralsols (Centre, South forest zone)",4.7,129.9,9.5,63.2,81.9,26.8,"Banana, Pineapple, Plantain",Urea + DAP + Lime
Lateritic soils (East region),4.8,96.5,16.3,95.1,73.5,26.8,"Sweet Potato, Cocoyam, Cassava",NPK 20-10-10
"Ferralsols (Centre, South forest zone)",5.2,76.5,12.8,66.6,92.9,28.0,"Cocoa, Oil Palm, Banana, Pineapple",Urea + DAP + Lime
Fluvisols (River valleys),6.1,266.9,52.5,195.3,73.1,24.2,"Rice, Okra, Maize, Tomato",Balanced NPK
"Hydromorphic soils (Coastal, Littoral)",5.1,232.8,31.9,96.8,93.2,27.6,"Oil Palm, Banana, Rice, Sugarcane",Urea + DAP
"Vertisols (Far North, Diamare plain)",6.9,102.0,15.3,217.4,45.5,36.1,"Cowpea, Cotton, Sesame, Sorghum",DAP + MOP
Black soils (Mbam valley),7.1,225.3,34.5,83.3,73.8,26.1,"Maize, Vegetables",Urea + MOP
"Arenosols (Far North, Sahel fringe)",7.2,60.7,7.7,43.4,25.6,40.7,"Groundnuts, Sesame, Watermelon, Millet",Urea + MOP
Black soils (Mbam valley),6.7,200.6,34.6,42.5,72.7,24.9,"Soybeans, Maize, Tomato",Urea + MOP
"Lixisols (Adamawa, North transition)",5.0,70.9,23.4,85.5,68.6,23.2,"Cassava, Yam, Maize, Groundnuts",NPK 15-15-15
Black soils (Mbam valley),7.2,212.6,54.6,84.5,73.3,29.8,"Tomato, Vegetables, Pepper, Maize",Urea + MOP
"Hydromorphic soils (Coastal, Littoral)",5.2,210.8,30.6,120.8,92.1,28.8,"Oil Palm, Plantain, Taro, Banana",Urea + DAP
Black soils (Mbam valley),7.1,211.9,36.8,49.7,79.3,29.8,"Maize, Vegetables, Soybeans, Rice",Urea + MOP
"Hydromorphic soils (Coastal, Littoral)",5.4,237.5,38.7,97.1,96.9,26.0,"Sugarcane, Banana, Rice",Urea + DAP
Sandy soils (Far North),6.2,67.9,8.4,218.6,39.2,35.3,"Sorghum, Cowpea, Watermelon, Millet",DAP + MOP
"Nitisols (West, Northwest highlands)",5.9,245.5,59.6,197.3,81.8,19.9,"Beans, Arabica Coffee, Cabbage, Irish Potato",Urea + DAP
"Lixisols (Adamawa, North transition)",5.9,126.7,14.8,118.4,68.9,25.7,"Yam, Cassava",NPK 15-15-15
Lateritic soils (East region),5.4,99.0,10.4,94.2,82.3,29.6,"Cassava, Groundnuts, Sweet Potato, Plantain",NPK 20-10-10
"Arenosols (Far North, Sahel fringe)",6.5,51.4,5.0,71.7,28.2,36.7,"Sesame, Cowpea",Urea + MOP
Fluvisols (River valleys),7.0,225.2,57.7,188.4,78.2,27.4,"Beans, Okra",Balanced NPK
"Volcanic Andosols (NW, Mt. Cameroon)",4.4,192.5,54.1,155.6,91.0,21.2,"Coffee, Plantain, Banana, Cocoa",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.8,162.0,40.6,191.1,88.4,21.4,"Cocoa, Avocado",Urea + DAP + Lime
Black soils (Mbam valley),7.2,229.4,49.4,87.7,81.0,28.8,"Soybeans, Vegetables, Rice, Tomato",Urea + MOP
Clay soils (Western Highlands),7.5,146.7,38.8,164.7,79.5,20.5,"Lettuce, Carrot, Tomato, Irish Potato",Urea + DAP + MOP
Black soils (Mbam valley),6.8,177.5,32.9,46.6,75.2,28.7,"Vegetables, Maize, Rice",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.2,117.2,16.4,206.9,37.2,40.1,"Cowpea, Sesame, Millet, Sorghum",DAP + MOP
Fluvisols (River valleys),6.1,234.4,49.5,211.0,77.2,26.8,"Tomato, Pepper",Balanced NPK
"Vertisols (Far North, Diamare plain)",7.8,155.2,12.9,274.8,40.9,32.1,"Millet, Cotton, Sesame",DAP + MOP
"Nitisols (West, Northwest highlands)",5.7,187.5,44.8,193.2,79.5,18.3,"Arabica Coffee, Irish Potato, Cabbage, Maize",Urea + DAP
"Volcanic Andosols (NW, Mt. Cameroon)",5.2,226.0,41.8,161.2,86.8,20.6,"Avocado, Coffee",Urea + DAP + Lime
Lateritic soils (East region),5.0,99.5,12.2,61.7,82.9,30.5,"Plantain, Sweet Potato",NPK 20-10-10
Black soils (Mbam valley),6.7,181.9,48.6,79.0,72.1,25.4,"Pepper, Soybeans, Rice",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.3,229.4,41.4,141.4,91.3,18.7,"Plantain, Avocado, Tea",Urea + DAP + Lime
Clay soils (Western Highlands),7.6,185.1,37.6,218.1,86.4,19.0,"Lettuce, Tomato, Irish Potato, Carrot",Urea + DAP + MOP
"Nitisols (West, Northwest highlands)",5.8,245.0,59.6,219.0,86.0,21.5,"Irish Potato, Beans, Carrot",Urea + DAP
Black soils (Mbam valley),6.8,226.5,38.7,72.7,77.0,27.8,"Rice, Vegetables, Tomato, Pepper",Urea + MOP
"Hydromorphic soils (Coastal, Littoral)",5.7,233.5,33.9,112.9,90.1,27.3,"Banana, Taro",Urea + DAP
"Hydromorphic soils (Coastal, Littoral)",5.3,209.6,27.1,94.4,87.9,29.5,"Banana, Sugarcane",Urea + DAP
Sandy soils (Far North),7.0,59.1,6.4,251.7,42.4,33.6,"Onion, Watermelon, Sesame, Sorghum",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.8,221.8,41.2,124.8,88.6,20.7,"Avocado, Plantain, Coffee",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",6.3,200.5,59.1,228.2,87.1,22.7,"Irish Potato, Arabica Coffee, Cabbage, Beans",Urea + DAP
"Nitisols (West, Northwest highlands)",6.4,178.4,51.7,226.6,83.8,21.3,"Irish Potato, Carrot, Maize",Urea + DAP
Sandy soils (Far North),6.7,74.1,10.8,255.3,37.9,32.6,"Sesame, Onion, Cowpea, Watermelon",DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",4.8,243.3,32.9,146.6,88.1,24.5,"Taro, Banana, Plantain",Urea + DAP
Sandy soils (Far North),6.5,62.3,7.0,260.4,46.2,38.8,"Millet, Onion, Sorghum, Sesame",DAP + MOP
Lateritic soils (East region),5.5,79.8,11.0,78.0,71.3,29.2,"Cassava, Sweet Potato, Cocoyam, Groundnuts",NPK 20-10-10
"Volcanic Andosols (NW, Mt. Cameroon)",4.4,207.3,39.9,169.3,90.3,20.7,"Cocoa, Irish Potato",Urea + DAP + Lime
Black soils (Mbam valley),7.2,209.8,30.5,85.4,81.1,29.3,"Soybeans, Vegetables",Urea + MOP
Sandy soils (Far North),6.8,60.9,11.8,267.0,30.8,32.6,"Onion, Sorghum, Sesame, Millet",DAP + MOP
"Lixisols (Adamawa, North transition)",5.1,81.7,14.4,88.9,70.7,23.5,"Cassava, Maize, Sorghum, Yam",NPK 15-15-15
"Lixisols (Adamawa, North transition)",5.8,102.3,14.6,68.7,72.9,26.6,"Cowpea, Maize",NPK 15-15-15
Lateritic soils (East region),5.1,104.6,15.6,89.4,77.0,27.4,"Plantain, Cassava",NPK 20-10-10
"Nitisols (West, Northwest highlands)",5.9,184.5,47.1,175.9,80.9,22.4,"Maize, Beans",Urea + DAP
Black soils (Mbam valley),6.7,192.7,51.3,83.2,77.8,26.2,"Pepper, Rice, Maize, Soybeans",Urea + MOP
Lateritic soils (East region),4.9,70.1,16.5,84.5,76.4,28.3,"Yam, Cassava",NPK 20-10-10
"Lixisols (Adamawa, North transition)",5.1,99.6,16.2,91.6,68.5,29.2,"Groundnuts, Cowpea, Yam",NPK 15-15-15
Lateritic soils (East region),5.4,67.6,7.5,74.3,82.1,26.9,"Groundnuts, Yam, Cassava",NPK 20-10-10
Black soils (Mbam valley),6.9,151.6,46.4,53.7,77.5,26.0,"Rice, Pepper, Tomato",Urea + MOP
Lateritic soils (East region),5.4,109.5,14.3,70.8,85.1,29.3,"Cocoyam, Plantain, Groundnuts",NPK 20-10-10
"Lixisols (Adamawa, North transition)",5.7,99.4,14.2,85.2,70.6,27.9,"Yam, Maize",NPK 15-15-15
Sandy soils (Far North),6.7,69.5,8.5,257.8,34.3,32.1,"Cowpea, Onion, Sesame",DAP + MOP
Clay soils (Western Highlands),7.0,162.1,30.3,202.0,81.8,18.8,"Maize, Carrot, Lettuce, Cabbage",Urea + DAP + MOP
Fluvisols (River valleys),6.5,233.4,47.0,170.8,78.2,26.4,"Maize, Beans, Okra",Balanced NPK
"Hydromorphic soils (Coastal, Littoral)",5.1,205.4,34.7,158.8,97.2,25.0,"Taro, Sugarcane",Urea + DAP
Lateritic soils (East region),5.3,109.0,13.1,60.5,83.0,29.0,"Yam, Groundnuts",NPK 20-10-10
Sandy soils (Far North),6.6,45.9,11.7,262.4,25.9,36.4,"Watermelon, Millet, Sorghum, Onion",DAP + MOP
Fluvisols (River valleys),6.1,210.1,48.1,192.5,73.0,27.5,"Beans, Vegetables, Rice",Balanced NPK
"Volcanic Andosols (NW, Mt. Cameroon)",4.4,183.3,49.9,192.7,84.7,18.3,"Avocado, Tea",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",4.9,184.1,35.4,106.9,93.1,29.7,"Sugarcane, Taro, Banana",Urea + DAP
Lateritic soils (East region),5.3,89.3,11.0,69.7,78.2,30.2,"Cassava, Sweet Potato, Cocoyam",NPK 20-10-10
Black soils (Mbam valley),6.9,148.1,30.0,58.7,73.3,26.0,"Tomato, Rice, Soybeans",Urea + MOP
Black soils (Mbam valley),6.2,203.4,45.0,62.5,84.6,24.3,"Pepper, Rice, Tomato",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.5,131.2,11.7,260.6,43.0,37.7,"Sesame, Cotton, Millet",DAP + MOP
Clay soils (Western Highlands),6.8,205.8,31.7,207.0,78.8,17.4,"Lettuce, Beans",Urea + DAP + MOP
Lateritic soils (East region),4.8,73.0,8.4,63.7,76.7,25.3,"Plantain, Yam, Cassava, Groundnuts",NPK 20-10-10
"Hydromorphic soils (Coastal, Littoral)",5.2,225.8,31.0,98.8,93.0,25.1,"Plantain, Rice, Banana, Taro",Urea + DAP
"Lixisols (Adamawa, North transition)",5.4,111.7,25.4,115.2,71.9,26.3,"Cassava, Sorghum, Maize, Cowpea",NPK 15-15-15
"Lixisols (Adamawa, North transition)",5.5,94.1,22.2,83.6,63.9,27.7,"Cassava, Sorghum, Maize",NPK 15-15-15
"Vertisols (Far North, Diamare plain)",7.4,94.1,13.0,227.7,45.9,39.8,"Groundnuts, Sesame",DAP + MOP
Black soils (Mbam valley),6.4,157.8,55.8,67.6,77.6,26.2,"Tomato, Rice",Urea + MOP
Sandy soils (Far North),6.9,68.3,12.6,221.1,26.4,35.8,"Cowpea, Watermelon, Onion, Millet",DAP + MOP
Clay soils (Western Highlands),7.0,174.4,25.0,180.5,79.8,22.5,"Irish Potato, Cabbage, Carrot, Lettuce",Urea + DAP + MOP
"Vertisols (Far North, Diamare plain)",6.9,122.8,11.8,271.6,41.1,39.1,"Groundnuts, Sesame, Cotton, Cowpea",DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",4.7,186.5,34.2,127.9,93.4,27.5,"Sugarcane, Taro, Banana",Urea + DAP
Black soils (Mbam valley),6.3,197.1,30.5,60.9,74.2,27.7,"Soybeans, Vegetables",Urea + MOP
Black soils (Mbam valley),7.2,183.1,30.2,87.6,82.0,27.0,"Tomato, Soybeans, Pepper",Urea + MOP
"Hydromorphic soils (Coastal, Littoral)",5.4,185.8,31.4,157.6,88.8,26.4,"Plantain, Oil Palm, Taro",Urea + DAP
Sandy soils (Far North),6.4,77.5,7.0,224.5,26.3,32.6,"Millet, Cowpea",DAP + MOP
Sandy soils (Far North),7.1,59.0,13.9,189.6,38.8,32.4,"Watermelon, Sorghum, Onion",DAP + MOP
"Nitisols (West, Northwest highlands)",6.1,231.8,43.6,194.1,80.5,19.9,"Beans, Arabica Coffee, Cabbage, Carrot",Urea + DAP
Clay soils (Western Highlands),6.8,129.3,20.7,151.0,88.3,21.1,"Beans, Maize",Urea + DAP + MOP
"Lixisols (Adamawa, North transition)",5.8,115.1,24.7,116.6,66.3,26.2,"Cassava, Cowpea",NPK 15-15-15
Fluvisols (River valleys),6.1,204.4,49.3,186.9,77.3,27.5,"Pepper, Tomato, Okra",Balanced NPK
"Vertisols (Far North, Diamare plain)",7.2,147.0,19.2,251.6,52.4,33.5,"Groundnuts, Cowpea, Millet",DAP + MOP
Fluvisols (River valleys),6.8,220.0,56.6,227.0,78.2,24.7,"Vegetables, Pepper, Okra, Tomato",Balanced NPK
Black soils (Mbam valley),6.5,157.5,41.9,85.1,79.7,29.8,"Pepper, Maize",Urea + MOP
Clay soils (Western Highlands),6.6,199.4,30.4,208.5,89.9,17.2,"Lettuce, Cabbage",Urea + DAP + MOP
Clay soils (Western Highlands),7.5,160.5,20.3,158.0,89.8,19.0,"Carrot, Lettuce, Tomato, Maize",Urea + DAP + MOP
Lateritic soils (East region),5.5,105.4,10.9,63.1,74.1,25.6,"Groundnuts, Cassava, Yam, Plantain",NPK 20-10-10
Black soils (Mbam valley),6.9,213.3,29.4,63.4,71.1,25.1,"Pepper, Tomato",Urea + MOP
Lateritic soils (East region),5.0,71.4,8.9,47.0,76.4,29.4,"Yam, Sweet Potato, Plantain, Cassava",NPK 20-10-10
Black soils (Mbam valley),6.6,202.3,37.8,68.5,81.5,29.1,"Soybeans, Vegetables, Maize",Urea + MOP
Lateritic soils (East region),4.8,81.1,15.6,51.8,74.2,30.8,"Yam, Cocoyam",NPK 20-10-10
"Arenosols (Far North, Sahel fringe)",6.8,61.3,8.9,34.3,24.4,36.0,"Sesame, Watermelon, Onion",Urea + MOP
Clay soils (Western Highlands),7.0,190.9,33.0,219.3,86.7,21.7,"Beans, Irish Potato, Maize, Tomato",Urea + DAP + MOP
"Arenosols (Far North, Sahel fringe)",6.8,48.8,8.8,63.8,34.9,40.4,"Watermelon, Millet, Onion",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.8,220.7,34.6,194.4,95.9,19.2,"Plantain, Cocoa",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",4.9,185.0,40.7,118.0,96.9,26.0,"Oil Palm, Rice, Sugarcane, Banana",Urea + DAP
"Lixisols (Adamawa, North transition)",5.9,102.1,19.8,109.1,63.4,28.1,"Maize, Cowpea, Groundnuts, Yam",NPK 15-15-15
"Nitisols (West, Northwest highlands)",5.8,166.4,54.9,189.1,86.3,21.1,"Carrot, Irish Potato, Arabica Coffee, Maize",Urea + DAP
Fluvisols (River valleys),6.0,201.9,64.2,207.1,84.4,23.3,"Tomato, Maize, Pepper, Okra",Balanced NPK
"Ferralsols (Centre, South forest zone)",5.0,115.0,8.2,78.0,92.0,28.9,"Cocoa, Banana, Pineapple, Cassava",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",6.5,63.4,11.5,64.3,23.4,36.7,"Millet, Cowpea, Watermelon",Urea + MOP
"Nitisols (West, Northwest highlands)",6.0,197.9,49.5,183.3,81.6,20.2,"Irish Potato, Beans, Arabica Coffee, Maize",Urea + DAP
Black soils (Mbam valley),6.8,185.4,47.1,44.2,78.7,25.2,"Tomato, Pepper, Rice",Urea + MOP
Clay soils (Western Highlands),7.5,141.6,31.1,198.4,83.5,20.2,"Cabbage, Irish Potato, Carrot",Urea + DAP + MOP
Lateritic soils (East region),5.0,89.3,6.1,65.5,83.1,27.2,"Yam, Groundnuts, Cocoyam, Cassava",NPK 20-10-10
Clay soils (Western Highlands),6.8,199.4,27.1,194.0,80.4,22.5,"Tomato, Lettuce, Beans, Carrot",Urea + DAP + MOP
"Lixisols (Adamawa, North transition)",5.3,70.8,20.0,91.4,72.1,32.0,"Groundnuts, Sorghum, Maize, Cassava",NPK 15-15-15
"Volcanic Andosols (NW, Mt. Cameroon)",4.9,171.1,36.7,139.0,84.4,18.3,"Banana, Avocado",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",7.4,69.6,9.4,39.0,38.1,37.1,"Onion, Millet, Sesame, Cowpea",Urea + MOP
"Hydromorphic soils (Coastal, Littoral)",5.6,184.1,42.0,141.3,93.2,25.6,"Plantain, Sugarcane",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.0,48.6,7.3,60.9,33.7,41.8,"Millet, Groundnuts, Cowpea",Urea + MOP
"Lixisols (Adamawa, North transition)",5.3,90.9,15.6,103.0,60.2,28.8,"Maize, Sorghum, Cassava, Cowpea",NPK 15-15-15
Fluvisols (River valleys),6.3,211.8,62.7,231.1,82.2,24.9,"Maize, Okra",Balanced NPK
"Arenosols (Far North, Sahel fringe)",7.4,67.5,5.9,46.1,24.8,34.1,"Sesame, Millet, Cowpea",Urea + MOP
Lateritic soils (East region),5.1,76.6,7.4,87.3,73.5,30.7,"Yam, Cassava, Plantain, Sweet Potato",NPK 20-10-10
"Nitisols (West, Northwest highlands)",5.8,233.7,43.9,216.2,85.5,21.6,"Carrot, Irish Potato",Urea + DAP
Sandy soils (Far North),7.0,54.4,10.6,266.3,27.1,35.5,"Cowpea, Onion, Watermelon, Millet",DAP + MOP
Sandy soils (Far North),6.7,64.9,7.2,194.8,32.1,35.3,"Cowpea, Watermelon, Millet, Sorghum",DAP + MOP
Lateritic soils (East region),4.8,84.9,16.9,94.4,86.2,28.1,"Plantain, Cassava, Cocoyam, Sweet Potato",NPK 20-10-10
"Nitisols (West, Northwest highlands)",5.9,223.0,51.9,202.8,85.5,19.7,"Cabbage, Beans",Urea + DAP
"Ferralsols (Centre, South forest zone)",4.6,112.7,14.6,68.1,81.1,24.3,"Cocoa, Oil Palm, Cassava, Plantain",Urea + DAP + Lime
Black soils (Mbam valley),6.3,180.8,33.8,86.0,72.2,25.0,"Pepper, Maize",Urea + MOP
Lateritic soils (East region),4.7,113.3,11.9,62.4,77.3,27.0,"Cassava, Yam, Cocoyam, Groundnuts",NPK 20-10-10
Black soils (Mbam valley),6.5,180.7,50.4,70.9,78.5,29.8,"Rice, Pepper, Vegetables",Urea + MOP
"Lixisols (Adamawa, North transition)",5.4,95.3,10.6,85.1,63.9,25.0,"Sorghum, Groundnuts, Yam, Cassava",NPK 15-15-15
"Arenosols (Far North, Sahel fringe)",6.9,50.2,8.8,33.3,42.1,35.5,"Onion, Cowpea, Millet, Watermelon",Urea + MOP
"Lixisols (Adamawa, North transition)",5.3,100.2,24.9,115.2,58.2,25.9,"Yam, Groundnuts, Cassava, Maize",NPK 15-15-15
"Lixisols (Adamawa, North transition)",5.6,76.6,11.6,69.0,57.2,29.1,"Yam, Cowpea",NPK 15-15-15
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,234.5,36.4,150.3,88.5,20.1,"Irish Potato, Plantain, Banana, Avocado",Urea + DAP + Lime
"Lixisols (Adamawa, North transition)",5.5,95.9,12.6,107.3,64.4,31.6,"Sorghum, Yam, Maize, Cowpea",NPK 15-15-15
"Arenosols (Far North, Sahel fringe)",7.0,39.7,10.1,60.2,23.2,33.9,"Millet, Groundnuts, Sesame, Cowpea",Urea + MOP
Sandy soils (Far North),6.5,73.0,10.6,213.1,30.8,39.6,"Sesame, Watermelon, Onion, Cowpea",DAP + MOP
Fluvisols (River valleys),6.8,191.6,47.0,204.0,74.6,24.6,"Vegetables, Maize, Okra",Balanced NPK
"Ferralsols (Centre, South forest zone)",4.7,83.9,12.3,94.6,91.8,28.4,"Cocoa, Banana, Plantain",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",4.6,129.5,4.6,81.7,91.3,24.2,"Cocoa, Oil Palm, Banana",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",5.8,212.8,42.5,172.6,86.4,19.2,"Carrot, Cabbage",Urea + DAP
"Volcanic Andosols (NW, Mt. Cameroon)",4.5,224.8,46.7,146.7,88.0,18.4,"Avocado, Cocoa, Coffee",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",4.7,110.0,10.3,96.7,81.3,27.6,"Oil Palm, Plantain",Urea + DAP + Lime
Lateritic soils (East region),4.9,94.6,8.1,73.0,79.1,30.7,"Cassava, Plantain, Cocoyam",NPK 20-10-10
"Hydromorphic soils (Coastal, Littoral)",5.0,194.9,41.7,123.9,95.8,28.3,"Oil Palm, Sugarcane, Banana",Urea + DAP
Fluvisols (River valleys),6.5,206.5,56.7,179.9,87.2,29.0,"Rice, Vegetables",Balanced NPK
Sandy soils (Far North),6.5,73.5,13.6,207.8,40.9,34.4,"Sorghum, Onion, Watermelon",DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",5.3,185.6,36.0,143.5,90.1,29.6,"Plantain, Sugarcane",Urea + DAP
Sandy soils (Far North),7.1,71.6,13.3,269.5,34.6,35.9,"Cowpea, Onion, Millet",DAP + MOP
Black soils (Mbam valley),6.4,164.1,36.6,83.3,79.1,29.8,"Maize, Tomato",Urea + MOP
Sandy soils (Far North),6.2,71.6,6.2,255.1,28.4,34.0,"Onion, Sesame, Cowpea",DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.4,43.8,5.1,45.6,41.4,33.1,"Onion, Cowpea",Urea + MOP
Fluvisols (River valleys),6.7,198.1,48.5,195.7,78.2,23.7,"Rice, Maize, Vegetables, Okra",Balanced NPK
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,229.5,54.3,162.3,88.6,16.5,"Irish Potato, Coffee, Plantain",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",4.4,113.9,4.2,71.0,85.8,26.2,"Banana, Plantain, Cocoa",Urea + DAP + Lime
Fluvisols (River valleys),6.4,266.3,62.0,213.0,87.9,26.0,"Okra, Pepper, Rice, Maize",Balanced NPK
Black soils (Mbam valley),6.5,228.3,45.7,47.7,79.0,25.1,"Pepper, Maize",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.0,165.5,34.3,150.4,89.5,20.2,"Banana, Cocoa, Tea",Urea + DAP + Lime
Clay soils (Western Highlands),6.7,135.6,38.5,176.9,86.6,22.8,"Cabbage, Beans",Urea + DAP + MOP
Fluvisols (River valleys),6.4,213.2,59.0,180.9,81.7,28.3,"Pepper, Okra, Vegetables, Rice",Balanced NPK
"Ferralsols (Centre, South forest zone)",4.6,89.7,15.2,63.9,85.2,27.8,"Pineapple, Plantain, Oil Palm, Cassava",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",5.2,124.9,7.7,52.9,92.0,28.7,"Banana, Plantain",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",5.6,200.7,55.1,197.0,80.1,22.5,"Cabbage, Maize, Arabica Coffee, Irish Potato",Urea + DAP
"Ferralsols (Centre, South forest zone)",4.9,105.7,8.6,78.8,82.1,27.5,"Pineapple, Banana",Urea + DAP + Lime
Fluvisols (River valleys),6.3,267.4,59.5,169.5,78.7,24.1,"Maize, Rice, Vegetables, Pepper",Balanced NPK
Sandy soils (Far North),6.6,54.6,12.4,243.6,35.0,34.8,"Onion, Sorghum",DAP + MOP
"Nitisols (West, Northwest highlands)",5.9,203.3,49.2,222.8,85.2,21.1,"Maize, Beans",Urea + DAP
Lateritic soils (East region),5.3,101.6,11.7,48.8,76.4,27.4,"Cocoyam, Cassava",NPK 20-10-10
"Nitisols (West, Northwest highlands)",5.8,180.3,39.3,209.9,86.3,22.8,"Beans, Carrot, Cabbage",Urea + DAP
Lateritic soils (East region),5.5,105.4,12.0,68.3,85.6,27.7,"Cocoyam, Sweet Potato",NPK 20-10-10
"Ferralsols (Centre, South forest zone)",4.6,103.0,4.7,91.6,84.2,27.8,"Cassava, Pineapple, Plantain, Cocoa",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.2,115.8,14.4,249.5,34.8,37.0,"Millet, Cowpea",DAP + MOP
"Lixisols (Adamawa, North transition)",5.7,96.5,17.8,67.1,63.6,25.2,"Cowpea, Yam, Maize",NPK 15-15-15
"Lixisols (Adamawa, North transition)",5.2,81.0,25.1,111.6,60.5,29.7,"Groundnuts, Yam, Sorghum",NPK 15-15-15
"Lixisols (Adamawa, North transition)",5.5,92.4,25.6,103.6,58.2,31.0,"Cowpea, Groundnuts",NPK 15-15-15
"Hydromorphic soils (Coastal, Littoral)",5.6,174.6,36.2,92.2,94.3,27.9,"Rice, Plantain",Urea + DAP
"Lixisols (Adamawa, North transition)",5.2,83.7,23.2,92.0,65.5,26.9,"Maize, Groundnuts, Cowpea, Yam",NPK 15-15-15
"Hydromorphic soils (Coastal, Littoral)",5.5,196.5,41.2,121.9,91.7,28.9,"Banana, Oil Palm, Sugarcane, Plantain",Urea + DAP
"Lixisols (Adamawa, North transition)",5.3,130.6,18.0,120.5,60.8,26.2,"Cassava, Sorghum, Cowpea",NPK 15-15-15
Fluvisols (River valleys),6.2,203.9,55.3,169.1,85.8,26.3,"Rice, Okra, Tomato, Pepper",Balanced NPK
Fluvisols (River valleys),6.2,217.5,60.1,181.5,84.2,28.6,"Tomato, Okra, Beans",Balanced NPK
Clay soils (Western Highlands),7.5,188.9,38.9,195.8,87.8,22.8,"Lettuce, Beans, Tomato",Urea + DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",5.7,207.0,33.9,140.7,91.6,29.0,"Oil Palm, Rice, Banana",Urea + DAP
"Nitisols (West, Northwest highlands)",5.8,184.8,38.4,188.1,83.7,21.4,"Maize, Cabbage",Urea + DAP
"Nitisols (West, Northwest highlands)",5.7,231.0,47.0,185.5,79.4,19.0,"Irish Potato, Carrot",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.2,42.9,4.5,46.5,33.7,39.9,"Sesame, Groundnuts",Urea + MOP
"Lixisols (Adamawa, North transition)",6.0,103.9,17.3,72.3,68.2,24.3,"Maize, Groundnuts, Cassava",NPK 15-15-15
Sandy soils (Far North),7.2,77.0,7.1,231.9,24.3,33.3,"Watermelon, Sorghum, Millet, Cowpea",DAP + MOP
"Lixisols (Adamawa, North transition)",5.1,84.5,22.9,102.9,59.0,30.7,"Yam, Maize, Cowpea, Sorghum",NPK 15-15-15
Fluvisols (River valleys),6.0,256.3,42.7,214.8,86.8,25.3,"Pepper, Okra, Tomato",Balanced NPK
Lateritic soils (East region),4.9,98.7,15.6,76.5,73.2,27.3,"Yam, Cassava, Plantain, Cocoyam",NPK 20-10-10
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,239.7,59.4,192.4,94.5,18.6,"Coffee, Banana, Tea",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",7.3,57.9,5.7,42.0,27.2,37.8,"Sesame, Millet, Groundnuts",Urea + MOP
Sandy soils (Far North),6.9,65.8,5.1,249.5,29.1,34.1,"Millet, Sesame, Cowpea, Watermelon",DAP + MOP
"Ferralsols (Centre, South forest zone)",4.3,88.1,10.1,51.3,81.2,27.2,"Plantain, Cocoa, Banana, Oil Palm",Urea + DAP + Lime
Clay soils (Western Highlands),7.3,142.6,41.5,192.2,76.4,18.2,"Irish Potato, Beans, Tomato",Urea + DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.4,44.8,8.2,40.9,29.4,33.3,"Millet, Watermelon",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.0,179.3,46.5,150.4,87.6,23.0,"Plantain, Irish Potato, Coffee",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",6.1,174.1,59.6,184.9,88.9,20.7,"Arabica Coffee, Cabbage, Beans",Urea + DAP
